,limericks,rhyme_score,nonrhyme_score,context_score
29,"its your fault that im here i cant hide 
 your misdeeds i shall never abide 
 what youre telling me true 
 its a lie its no lie 
 its my fault im about to proclaim

",1,6,1.65635848
30,"a baddie ive never been able 
 to beat can you tell im not stable 
 im a little irate 
 that you like me  your date 
 with me is a baddie whos unstable

",4,6,1.655544698
31,"this morning im out of my mind 
 im just having some fun and im blind 
 so im open for you 
 and dont mind  dont even chew 
 its just my big day and im blind

",4,6,1.654706776
32,"whats a clod in old books like the ones 
 that provide for those hardworking bakers 
 when their cakes were browned 
 they could easily be bought 
 or anilled or theyre covered in bakers

",1,6,1.641730398
33,"i cant stop but i cant go to sleep 
 since you wont have your dogs to go sheep 
 youre still gonna get beat 
 if you keep dogtoting 
 your dogs sleep youre gonna be sheep

",3,6,1.637715578
34,"as a banger this guys really tough 
 he was first to be known as the mug 
 when he first went on strike 
 he was fast as a banger 
 hes been with the new banger buff

",1,6,1.626850344
35,"dance music is all about dancein 
 all the girls are entranced by our prancein 
 if you think you can bawl it 
 youre way too accumbent 
 if you dance to it too much youre achin

",3,6,1.626558036
36,"at a dance ive a certain affinity 
 for dance music thats more ackinetic 
 since my dance step was quick 
 all the guys look impressed 
 in the way that my dance step was attic

",1,4,1.615064666
37,"theres an old man who gives to the poor 
 his cash will get them to his door 
 and then often he knows 
 theyll be buying his clothes 
 if the cost is too high he wont let them buy

",2,6,1.605787516
38,"said johnny while donning the coat 
 ive a very strong beefloaf its neat 
 and its made from a cow 
 i can eat it to cow 
 and the beefy part has my vote eat it eat

",2,6,1.600066081
39,"a cat that has hair or a tail 
 will look more like a cat than a tail 
 if in fact its a cat 
 who is male and fat 
 it is most likely a feline or hare

",2,6,1.589751825
40,"the catfish of nantucket 
 had never been seen before on our shore 
 but the belugas they caught 
 on sighted some caught 
 with that fish they were thrown out of yore

",2,6,1.589038849
41,"some folks get a kick out of fooling 
 with jokes that fool people  theyre doing 
 of course they are sweet 
 since the people they meet 
 with their jokes are not usually amusing

",4,6,1.586589158
42,"in a book that i bought from my wife 
 in our attic she made a small mound 
 of gold silver she bought 
 she had made a big fraught 
 just to meet with the real sale she wrote

",1,6,1.578897536
43,"my son has an afroamerican bent 
 he wears afroamerican bent 
 he plays baseball its true 
 he is black and he is 
 an outof adopted biracial bent

",3,6,1.577964157
44,"there are days when my wife will berate me 
 while im out she will constantly berate me 
 since her words are unkind 
 and her harsh word spoken 
 she wont leave me at home she will wait me

",3,6,1.576189071
45,"all the men in the dorm are enfantin 
 in their sinewy room to a bent 
 and theres no escape 
 if they cant get a break 
 so theyre trapped in a sorry trapped

",0,6,1.567929491
46,"a back door might let you in 
 but dont make it just open a tin 
 youll be sorry no more 
 if the door should close door 
 a back door isnt something that is in

",4,6,1.566497937
47,"if your baby is born then its clear 
 your birth has been planned with a beer 
 your baby has started 
 with no life startin 
 or your life is beginning to here

",3,6,1.558380812
48,"she was found in a puddle of crumbs 
 and an airy one final bath rumblings 
 her clothes were all tattered 
 the room was quite spattered 
 and she took a nap not too deeps

",2,6,1.557652891
49,"a corsican chef i once knew 
 with the food of a king and a queen 
 was one of a kind 
 in la crema a bond 
 the french chef was oneeighty two

",2,6,1.537097916
50,"youre a drunkard a dork or a droll 
 your moroseness is more than just droll 
 youre a drunkard a boozer 
 a boozer a drudge 
 and a boozer a boozer or hbox

",1,6,1.534458317
51,"shes a beauty shes got no bum luck 
 her looks are not all that amuses 
 her eyes are as bright 
 as a brilliant white night 
 so shes cutely clad in black duck

",2,6,1.529378459
52,"as the time of his birth draws to naught 
 he has dreams of becoming aaught 
 all his pains will be gone 
 and his future is gone 
 and his heart cannot part from his thought

",4,6,1.523792624
53,"im a fawst not a bit im a fawst 
 but that birdcage is no fawst for me 
 its a bird that says hey 
 and then burrows away 
 with its nbird a cawst for me

",2,6,1.518529773
54,"the almighty god of the sdash 
 had just made the muslims gash in his ash 
 all the muslims and gentry 
 had lost all belief 
 that a god should be blessed by theash

",3,6,1.513628542
55,"when you look in a mirror the light 
 is more bright than a candle you cite 
 or a torch that burns 
 that is refracted  it glows 
 or is merely reflection in sight

",3,6,1.512726456
56,"in the desert by river or spire 
 we were lost in the desert and dane 
 dont give them a fright 
 they can eat theres no dearth 
 so theyre out in the desert again

",1,6,1.511292651
57,"an old witch made her mark on the street 
 her face was the symbol of heat 
 but the touch made her frown 
 saying oh dear oh the clown 
 she was cursed and had witchlike feet

",4,6,1.510524467
58,"i just couldnt help looking at you 
 so i bought you a diamond ring you 
 wont come back im afraid 
 it is yours to be paid 
 so my diamond ring goes to you

",4,6,1.506373197
59,"that new taffy who wants to go fishin 
 shes a known angler i wish id fish out 
 she is angling and wont 
 come alone or with water 
 so shellfish out in the cold  shes a trout in

",1,6,1.503163606
60,"a corvettes or cogs not a boat 
 not a boat thats a sail but a boat 
 with a sail a long narrow 
 on each side of the craft 
 its a boat by the name of the quay

",1,6,1.499972194
61,"when you start something new everythings 
 that it shouldnt be been should it be 
 if youve something new 
 then you should have been too 
 you should have been new at the key

",2,6,1.499236405
62,"in a tree trunk a firewood and bark 
 can be burned with a flame that can mark 
 the existence of fire 
 and the damage done there 
 the flames being drawn by the park

",3,6,1.490143329
63,"theres a fagot i know well im certain 
 as a birdman is clearly a purser 
 my friend an old bird 
 is fond of a word 
 which by birdb nerds is a term thats purser

",2,6,1.485250637
64,"my dad says hes dead i could cry in 
 hes alive  you could call me a spy in 
 but i feel sad and see through 
 as his last breath i view 
 the dead yet still i love himi spy in

",4,6,1.484421432
65,"on the second of july when we went 
 to the farm we both stopped to pee 
 i could feel on my soul 
 that our life should revolve 
 on the third of july when we went

",1,6,1.477364376
66,"my granddishness looks pretty tame 
 and a man who loves grandmas great fame 
 but ive learned ive got one 
 who loves granddishness ive got none 
 her granddad would rather the tame

",4,6,1.469215423
67,"a laddie is known as a caddy 
 as a lass to a lass on a pladdy 
 you wont want to come near 
 with a girl that will sneer 
 she is just a bad lass and a laddie

",4,6,1.464474611
68,"i knew that the girl who was blue 
 had an aquiline nose and to go 
 down to see it in full 
 with that pinkish hue 
 youll see pink and im thinking of hue

",1,4,1.463510558
69,"we must get back to the cave we cant 
 but the cave is a place we cant 
 since the surface is pitchy 
 the walls have all stiffie 
 the cave so dark must be black

",2,6,1.462684304
70,"its been raining and it doesnt rain hard 
 i needaid it goes on  no not yard 
 i get wet  i cant get 
 id say ill buy some pot 
 ill just pee  there aint no need to start

",1,5,1.461855024
71,"when you get to the end of your tether 
 you may not like the ride very much 
 you may howl and may curse 
 your ride is a bore 
 but at least your sore ride will stop soon

",0,6,1.45784767
72,"an albatross isnt abird 
 which flies with alsaur on its beak 
 such a creature of fiction 
 youre just an absurd notion 
 but a true albatross is a beagle

",1,6,1.443423554
73,"my daughter is feeling quite ill 
 having doped in this tub of a pill 
 she is now a pariah 
 to the cops shes the payee 
 the pills for her use are for still

",4,6,1.442744166
74,"shes a model of beauty its true 
 and shes blessedly attired i would too 
 shes a beautiful gal 
 tastes to me like a gal 
 im a fan of her  oh and my hoh

",3,6,1.430133373
75,"our new dance band is coming tomorrow 
 we get you all dressed and feel ready 
 to go see the next night 
 wish id not be so uptight 
 now that day has arrived theres no ready

",2,6,1.427441508
76,"theres a cat among us who can eat 
 all his prey then the cats got his meat 
 he wont take any more 
 he is strong and quite fair 
 hes just catlike hes never been beat

",3,6,1.425992161
77,"if youve got me a spare and a keg 
 with a cork and a cork on a stick 
 i suggest you begin 
 with some wood for your fence 
 as a cork and a cork with a claw

",0,6,1.425896496
78,"im a caddie a cuckoo i sit 
 on the wall by the side of your lip 
 im a girl who is bossy 
 if youre cute as a foxie 
 youre a cuckoo your boss may suggest

",1,6,1.424986333
79,"a bannister isnt a man 
 who plays polo as often as can 
 on trombone or bass 
 in a sport not the class 
 of a club playing polo for fun

",4,6,1.423953295
80,"in our language we have it in rhyme 
 which with agyrophonys time 
 but for words i am short 
 we just need one thats blond 
 that is chitraless i wouldnt rhyme

",3,6,1.422951683
81,"a new study on women has shown 
 the effect of the breast milk alone 
 in their time on display 
 it showed milk of no age 
 but that milk was of full breastfed

",1,6,1.417356148
82,"a california rhyme that i wrote 
 took its name from the state of byword 
 the rhyme was a hit 
 with an ada and that 
 was it rhymes in a comic strip

",0,6,1.416133576
83,"you say that our love can be real 
 just be honest and come with me 
 yes my heart is for you 
 and my mind is for you 
 but my love is my only appeal

",2,6,1.415894002
84,"theres a bird that you know very few 
 its a male and it seems to me wee 
 but his singing is mighty 
 hes charming and witty 
 hes witty funny and wry

",1,4,1.414904401
85,"in the army i hadnt a say 
 since a bootless position would pay 
 so id lie on the ground 
 and say im not round 
 to be honest with bootless id say

",4,6,1.414792508
86,"in his day it was called the french revolution 
 the red revolution it began 
 by the frenchmen who led 
 in their quest for the red 
 what a sad day it was its pen revolution

",4,6,1.41270633
87,"ive grown wings that are long and can fly 
 and my wings give a person a scare 
 theres no doubt its the bane 
 of the whole of man brain 
 just one brain with my wings will get there

",2,6,1.409376144
88,"at the start of the day they would say 
 youre the best man or dog that is day 
 but soon after theyve met 
 every day someone vet 
 what youre the best dog that man wouldnt say

",4,6,1.405113429
89,"i am writing this ditty in praise 
 the poet had a small flaw 
 i wrote it with pen 
 it was not very green 
 i could use a good limerick compose

",0,6,1.404459849
90,"heres my plan lets combine our forces 
 with a force thats both mighty and courseless 
 im as sharp as a tack 
 and i wont leave our slack 
 im your captain your marshal your forceless

",4,6,1.396345109
91,"my car is a strange one to see 
 its built like a houseplank  you agree 
 but a lady should not 
 get a flat on the floor 
 cause a flat is just not gonna be me

",3,6,1.392887175
92,"my cat has such pain that shes sad 
 but shes not a great cynic  how sad 
 so shes spending the night 
 with a guy that ive met 
 her moods ebbukh mood isnt that bad

",3,6,1.392353728
93,"i just cant get enough of the dregs 
 on my food when theres none left on my plates 
 on my clothes and my shoes 
 theyre the reason my shoes 
 cant have any  they arent my petites

",2,6,1.388843417
94,"a young chef at trenton named hugh 
 made a stew that was rich and quite blue 
 a nice cajun stew 
 said hugh gouda you know 
 and a dish that is named for him too

",3,2,1.386610985
95,"the best of us know isnt a guy 
 who would trade horse for mop made out by why 
 this was made from a cart 
 with the mop cart in command 
 and i never once thought mop was

",1,5,1.385886997
96,"your face is the color of earth 
 and its white as a pearl of dearth 
 though youre blind to my plight 
 youre my color of light 
 in a white as a dark in my bed

",2,6,1.384900302
97,"im an artist whos not in the mood 
 for a paintings just art but deped 
 and i find it appealing 
 to use colors that bleed 
 when the mood calls to artists im cowed

",1,6,1.380570412
98,"for a change i can just get my hand 
 a huge shiny watch its a band 
 when the power goes low 
 a lights out then i know 
 when the hours all run out of my hand

",4,6,1.378389716
99,"my friend alex said hes no fool 
 to his music i listen oh n cool 
 he can play his high tones 
 in a big tuba 
 and now he says listen ol fool

",3,6,1.375463046
100,"though he wrote his whole plays in an octaves 
 with six notes in an octave of scales 
 with an octave played twice 
 twisted two octaves wont suffice 
 to create a great score of tones

",1,6,1.369277745
101,"a chameleon looks just like a rabbit 
 its a small yellow redrican rabbit 
 but its also a beast 
 who will gallop with speed 
 from the opposite direction to rabbit

",3,6,1.367078438
102,"so much bliss that i just cant describe 
 but the girl is my daughter you see 
 ive found her and me 
 both inside of her shell 
 so shes yours and so does i should be

",1,4,1.36590375
103,"a young man with a smile on his face 
 liked to sit on the edge of a space 
 where he sat on the board 
 playing poker the best 
 the game was poker of face

",3,6,1.365747675
104,"if your lovemaking drives you to frolic 
 in a state of undress when its frolic 
 and with no time to spare 
 go for pleasure and there 
 isnt much you can say bout that frolic

",4,6,1.365550458
105,"im too young to put me in a van 
 but the cops will arrange for a van 
 for that old constable 
 with a long narrow rope 
 if she wont do the job then ill van

",3,6,1.364561737
106,"when im out on a limb it turns drearier 
 when i bend it to break or maintain me 
 from rough places im not 
 so im always a cape 
 if i break i may break my arm there

",0,6,1.362836018
107,"im a master of the arts that i paint 
 in my school art course my first day 
 im a master of all 
 to a new high school call 
 ill go back to my school to enhance

",1,6,1.360137194
108,"theres a bug that i call avirulent 
 it moves in a path thats bedevous 
 you might think its a worm 
 but its not the real worm 
 its   cuttlefish  theyre also disbursant

",2,6,1.359645367
109,"while the queen is the king of the roost 
 and the king wants to dine with the king 
 her spouse is a bum 
 who will not buy the bum 
 but might offer the king room or support

",1,6,1.354967117
110,"he said aha with a sigh 
 and was then all around we would try 
 the right response he drew back 
 it was done with a smack 
 he turned round and came back with a sigh

",4,6,1.354738623
111,"my poor face needs repair said my doc 
 said his face to his face may beolar 
 but ive made a choice 
 ive been face honest 
 your face isnt crackedyoure a rock

",1,6,1.352992609
112,"if this verse is so long for you to read 
 that it cannot get any ahead 
 then youve read the whole thing 
 and youve gone in the ring 
 but not very very much youre ahead

",4,6,1.35051854
113,"as a poet some poets are blessed 
 with a skill set quite clear and refined 
 they have wit that astounds 
 and can give voice to their sounds 
 and rhymes that are profound

",2,6,1.349635512
114,"a cadaver once came to our house 
 his body had rot which was strange 
 since he turned pale and grey 
 we were shocked and then cried 
 hes a cadaver  the dead body of my spouse

",1,6,1.348036192
115,"to the duke he would stand on a stool 
 with his arms set in front and his stool 
 til hed ready his musket 
 and ducked it down in the spade 
 now the king of our realm wouldnt stool

",3,6,1.346428126
116,"if your friends had a war of the bums 
 well your family would do the bums 
 for their lives not the cause 
 of their loved ones whose flaws 
 were the fault of the mothers and slums

",4,6,1.34366104
117,"from a distance this dalaijilla 
 is a shrub whose prickly leaves feel like a yella 
 once it grows to the threshing 
 it will surely be worthhing 
 as a plant without which youd feel like a dalai

",2,6,1.341254756
118,"on our shore we have all the best 
 caught the news in our new land that west 
 of the sea the us 
 we dub cetaneus 
 a place where we keep our marinas best

",4,6,1.341160804
119,"i have asked for a date with jane 
 shes a ditz shes an absolute queen 
 i want something like that 
 and i fear shes not flat 
 since shes not in the least bit vain

",2,6,1.338384628
120,"its the case where i try to explain 
 to myself the case where i feel 
 that the case where i find 
 someones left on a blind 
 is the case where they find me again

",2,6,1.334164083
121,"she looks up from her flight at the sky 
 shes so glad that shes not in the sky 
 as she stands tall as breeze 
 hes surprised her and please 
 is she there or inaudible too

",2,6,1.334067017
122,"she thought it would bring relief from her grief 
 when a duchess was feeling much grief 
 but thehess soon found 
 that her friends all agreed 
 that her king was in pain in the chief

",3,6,1.330496699
123,"when the sun sets in twixt the latitudes 
 the earths equator means we get taster 
 than the day before 
 the first day of the year 
 and we yearn for the day that we remember

",1,6,1.328309059
124,"my wife said i really need bibs 
 i must get some new hair and my bibs 
 well the hair that we got 
 looks just as well squat 
 we wont look like the jerks in the bibs

",4,6,1.323902935
125,"an abomnable abbeys been 
 said my brother and i believe its been 
 since this mornin day fight 
 all this battle youll tonight 
 will make history im sure abbeys been

",4,6,1.323524907
126,"an arboreally grows in your garden 
 and looks like a red blossom garon 
 on this leaf its the same 
 as you see in the name 
 of that vine green as white canard

",2,6,1.321846277
127,"a bostonian   its no good 
 to call it a bostonian bed 
 when in scotland its home 
 and in ireland its roam 
 in new englandits called a celt

",1,6,1.320925802
128,"an egotist knows how to please 
 with his art thats not good but not gree 
 his works never fail 
 to impress in great scale 
 and his ego soars to the skies

",2,6,1.316274077
129,"theres a game that my wife loves to play 
 its called baseball and it has appeal 
 she loves to go bats 
 or play poker or scotches 
 its one of her most favorite play

",1,6,1.315973625
130,"that great word that im hearing has meaning 
 so i wrote down the words ive been grusing 
 no words can compare 
 to this limerick i wrote 
 in five lines for a limerick  im smoking

",3,6,1.315955788
131,"when the gents in the mess they must hide 
 in the closet till spring is at peace 
 when the autumn ends 
 then in spring they all meet 
 since the days of springtime theres no december

",0,6,1.31535504
132,"though he died in the end his young life 
 still his soul stayed in the dark with his wife 
 while he did his last bit 
 by the end of it all 
 he felt quite contented hedlived

",1,6,1.315006271
133,"this  is my new  whats it for 
 its a cetane  whats the matter 
 its a fuel that we use 
 where our cars are a refuse 
 or a fuel that we use in a van

",1,6,1.313973006
134,"there once was a wizened old loon 
 who was called a wizened old hoon 
 he was so darned smart 
 that he thought he could sing 
 and was deaf  hed become the new man

",1,6,1.312599093
135,"whos got dough and i look like a doughy 
 i dont buy it i think thats not true he 
 if it were i would buy it 
 then id rather not try it 
 to show that i dont really do buy it

",2,4,1.312356174
136,"a bannister isnt a priest 
 with a job that is part of his expertise 
 and this job brings him joy 
 when he works at the devil 
 hes a devil but no one can guess

",1,6,1.311466992
137,"the ancients may not call a spartan 
 but a spartan or a spartan 
 is no roman or greek 
 he is not a real weak 
 and an ancient greekartan i artan

",4,6,1.310386926
138,"theres an oddity i like to say 
 that an acroamp not always bright 
 though it sounds like a lamp 
 its a small kind of lamp 
 i can light up to a cinerous glow

",1,6,1.309793785
139,"when theres a fault some would say 
 some might call a new birth a wrong 
 its not wrong  we all know 
 why theyre starting to grow 
 its an amoebas birth thats a wrong

",2,6,1.309329115
140,"a bloke with a case of the blues 
 said hes off to a nice place to buy booze 
 but he found the old pub 
 with no staff i can drub 
 off the booze like the devil he sucks

",2,6,1.308947973
141,"i have nothing to say but i hate 
 a loud noise sootfilled i whine 
 that your words will not sound 
 when i hear the words blurred 
 im in tears what i hear youre the sarge

",0,6,1.308834046
142,"shes the wife of a man called jacques 
 as they wed she is known as his lacques 
 but when they were wed 
 she was stern anderb 
 as she taught him to speak and to skoscope

",0,6,1.308358163
143,"theres a fish in my soup i am reeling 
 and i cant eat it   its really appalling 
 now its time for some fish 
 i am under the yachnish 
 cute carpaccio  no way  im geling

",4,6,1.30810836
144,"the old man was a britain spy 
 his government secret to him 
 but what was so vital 
 to him was vital 
 and so to him the whole world

",1,6,1.307081357
145,"our friends used to buy stuff from a store 
 thats a real bargain our hearts and our more 
 but the prices keeps dropping 
 and we have to stop shopping 
 and head straight for the store for the store

",4,6,1.30680187
146,"when the boss of my firm goes astray 
 they find out that im losing my pay 
 when i call in a phone 
 he says sir youve got room 
 i cant phone as my boss is away

",3,6,1.306075186
147,"cabernet is a wine that a man 
 might favor with its bouquets at theapan 
 from its bitter redossom 
 and white tinge of the bramble 
 and greenish auburnish with pan

",3,6,1.299272195
148,"a young fellow was seen by a floozy 
 just last week in his car with his doozie 
 though his car doesnt go 
 it will speed up your flow 
 as your brains in his brain will be slowasy

",4,6,1.29844591
149,"for her birthday she gave me a gift 
 a nice gift of candlesa candle 
 now the candles too lit 
 and i think shes a gnome 
 she will put on a cake that will last

",0,6,1.297230184
150,"to the mountains the cowbird sang high 
 like a bird to the cow it was shy 
 in the forest she flew 
 with a howl of her own 
 and she cried out the heavens for aid

",1,6,1.289112151
151,"the old russian roustrel was proud 
 of his great great repeaters when borne 
 took his thunder to bay 
 the poor russian bore 
 twas too bad that his roustrel was cowed

",1,6,1.289092645
152,"said a man in my employments at sea 
 i shall work  and not shirk for a fee 
 i will pay off my taxes 
 ill buy you a jental 
 but i dont need to work in a sea

",3,6,1.288252041
153,"on our boat were the crew i was hired 
 all the cast mates and crew were well paid 
 and the food all the same 
 i was paid at each high 
 it was pay that i thought id be fired

",1,6,1.287431484
154,"she was beautiful so i was charmed 
 by the sight of her bright eyes that astounded 
 my vision is clouded 
 she is called in the fold 
 of your heart shes well hid and unounded

",1,4,1.286873534
155,"theres an antonym you may apply 
 for a sound that the brain can combine 
 with a lexicon word 
 which will not be heard heard 
 if you just know its a word that you mean

",2,6,1.282059275
156,"when my cat was as cute as can be 
 i would play with a bowlful of pee 
 then i thought you might do 
 my cat claw for two or three 
 if i had a strong feline fleas

",1,4,1.280067146
157,"i find that my life is now dull 
 i prefer that its dark on my lawn 
 but the way you behave 
 i cant easily gauge 
 as you sit at the foot of the lawn

",2,6,1.280026183
158,"an author whose books are a bane 
 has an obsession with writing its plain 
 he will use word after word 
 and ill bet that ive heard 
 that the word that he wrote is faade

",2,4,1.278523251
159,"in the house every morning he goes 
 there is little if any he knows 
 theres no call in the night 
 he is going to find 
 a nice rest for his day in the know

",1,6,1.273128927
160,"its as tough as the life of a thug 
 no more woe when i get to the bog 
 the new kids at the school 
 dont know who theyll give a hoot 
 im no fool that this kids up the bog

",1,6,1.267337129
161,"my dog has just gone and found me 
 but i love her so much i implore 
 you should not let him go 
 you can pet me she said 
 but not with your mouth on my doge

",0,6,1.267114051
162,"as your blood cell count slowly rises 
 the red cells are quickly demise 
 if the cells are dilated 
 youre lacking ductation 
 the cause of your demise is those rise

",1,6,1.26440838
163,"though the court is on pace to rule 
 our legal process is slow 
 as we go through the motions 
 of appeal from theions 
 our barristers will often be slow

",2,6,1.262581497
164,"at the end of the year many christians 
 try to send out all their nonchristians 
 but these nonchristians frown 
 when i tell them im down 
 theologians too  they are bigians

",4,6,1.259237967
165,"im no berry im not a big fan 
 of red rose daisy or marigold 
 a sweet blossom i sing 
 that your nose should be sang 
 because roseberrys the best that ive seen

",1,6,1.257015988
166,"theres a baltic style brookline called brok 
 which in scotland has gone a bit slow 
 for the more part its used 
 like its name is emblazed 
 but by scotland its used no the scrok

",2,6,1.253346428
167,"this old chair is old and its so 
 i bought one for my daughter who we 
 thought id look great in 
 this new one as she sat in 
 a new one she thought she should leave

",1,6,1.250770301
168,"a dutchman found many a choc 
 in an or else in his pocket 
 when hed left mr krupp 
 for a frenchmans loutto 
 the dutchman cried now i dont have the knack

",1,6,1.250397146
169,"my wife has a cat as a pet 
 but her manners they make me regret 
 her chritchin can sprawl 
 any cat she may pearl 
 like acatlike she is at my feet

",1,6,1.246825248
170,"my friend was a moron a boffin 
 my old friend was a gobbshootin 
 all my friends called him jim 
 i remember heum 
 but that didnt get jim so thatffin

",4,6,1.246020168
171,"there are two things all agree and theyre related 
 first the others the reason is stated 
 if a pair should survive 
 with anothers side 
 or the reason to be is related

",3,6,1.245930105
172,"there are many more species of chame 
 and more creatures we mustnt be sad 
 though they live and theyre here 
 in their own special gear 
 we must help them because theyre so lame

",2,6,1.240772232
173,"an atlatte a german or german 
 in east europe came close to home in 
 the west though it did not 
 do its people the lot 
 and the ottossen did too in berlin

",4,6,1.240340978
174,"this limericks written to act 
 in a manner that perfectly lines 
 up a line by a letter 
 that perfectly limps 
 in a manner that no one expecting

",0,6,1.239128143
175,"he was quite a bit crude in a tangle 
 but in law he was quite a tough bloke 
 and the judge was thundering 
 the jury was thundering 
 the acquittal was just by an angle

",2,6,1.236566722
176,"with my cat ill take all of my mitt 
 and my cat ill buy clothes i canitt 
 but i want something right 
 then ill ask that this night 
 for my catnapper i will accept

",2,6,1.23541382
177,"we were out on a lark when id gone 
 then i slipped in and slipped through the snow 
 i felt so embossed 
 from the thaw on the flossed 
 snow had covered my face like a wax

",1,6,1.234126523
178,"though the air on this plane will be foggy 
 as i step down this gentle revuegy 
 i can now take control 
 on the plane which is whole 
 for the flight to be flown is so easy

",4,6,1.232514262
179,"the  barney the boozer the band 
 they had names that they didnt understand 
 when a band got too big 
 they could not even go fig 
 their huge hit they werent that grand

",4,6,1.231641129
180,"my new son a blue belt named marty 
 loves to run like a crazy old cadgy 
 hes faster than me 
 in the car i can see 
 hes no bad  im a cool baby cadgy

",4,0,1.227187999
181,"that we know as the alps is the land 
 where the bison go fishing for sand 
 you may hear a loud thud 
 like the hulking a flood 
 that the bison make while they can

",2,6,1.221835002
